Week_Start_Date,Agency,Final Incident Type,of_Incidents_Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call_to_FDNY_Job_Creation,Call to EMS Pickup,Call_to_Agency_Job_Creation,Call_to_Agency_Dispatch,Call_to_Agency_Arrival,Call_to_First_Arrival(Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median_FDNY_Pickup,Median FDNY Job Creation,Median_Ems_Pickup,Median Ems Job Creation,Median_Dispatch,Median_Travel,Median_Cumulative_First_Arrival(Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
6/24/2019,EMS,1. Life Threating Med Emergencies,7801,4.51,65.37,,,74.66,108.98,161.4,580.36,498.83,3,78.5,,,16.5,37,85.5,366.5,447,6.98,1.54,0.54,0.18,1.02,0.08,,
6/24/2019,EMS,2. Non-Life Threatening Med Emergencies,11329,4.48,77.69,,,90.42,82.98,258.03,933.31,798.27,3,89.5,,,16,39,92.5,552.5,636.5,11.25,2.93,-0.11,0.24,1.22,0.07,,
6/24/2019,FDNY,1. Structural Fires,171,4.41,30.4,36.36,86.94,,,95.51,291.98,288.34,3,15,5,48,,,7,192,274,3.27,0.14,,,0.43,0.07,0.1,0.84
6/24/2019,FDNY,2. Non-Structural Fires,124,5.02,42.26,38.21,97.64,,,116.29,381.89,378.81,3,18,5,49,,,8,235.5,330.5,4.43,0.17,,,0.62,0.08,0.08,0.99
6/24/2019,FDNY,3. Medical Emergencies,3039,4.42,235.67,,,76.92,230.47,260.2,557.65,476.76,3,122,,,5,50,6,271,415,4.96,0.41,1.83,0.09,3.85,0.07,,
6/24/2019,FDNY,4. Non-Medical Emergencies,2301,4.62,161.05,54.74,116.33,,,229.87,559.68,519.95,3,33,5,46,,,7,291,410,5.5,0.19,,,2.61,0.08,0.09,1.03
6/24/2019,NYPD,1. Critical,988,4.26,118.21,,,,,212.6,406.57,387.72,3,88.5,,,,,55,128,313,3.23,1.57,,,1.9,0.07,,
6/24/2019,NYPD,2. Serious,1919,4.2,115.81,,,,,263.43,653.55,623.79,3,91,,,,,73,217,431,6.5,2.46,,,1.86,0.07,,
6/24/2019,NYPD,3. Non-Critical,441,4.5,169.14,,,,,580.46,1480.34,1464.81,3,135,,,,,137,398,796,15,6.86,,,2.74,0.07,,
6/24/2019,NYPD (Non-CIP),Alarms,1958,4.43,126.53,,,,,807.16,3509.97,3508.94,3,108,,,,,298.5,1434.5,2095,45.05,11.34,,,2.03,0.07,,
6/24/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1297,4.29,165.51,,,,,925.51,3092.39,3070.65,3,140,,,,,261,1014,1700,36.11,12.67,,,2.69,0.07,,
6/24/2019,NYPD (Non-CIP),Dispute,4073,4.17,174.22,,,,,963.21,3506.8,3483.12,3,143,,,,,272,1110,1937,42.39,13.15,,,2.83,0.07,,
6/24/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,233,4.54,157.6,,,,,483.06,2523.24,1161.18,3,137,,,,,119,1108,480,34,5.42,,,2.55,0.08,,
6/24/2019,NYPD (Non-CIP),Other Crimes (In Progress),2414,4.32,154.47,,,,,470.95,1148.58,1146.21,3,120,,,,,111,331,666,11.29,5.27,,,2.5,0.07,,
6/24/2019,NYPD (Non-CIP),Past Crime,2746,4.6,203.25,,,,,1105.28,4857.45,4742.92,3,174,,,,,334,2084,2979.5,62.54,15.03,,,3.31,0.08,,
6/24/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,153,4.2,101.92,,,,,524.74,1892.29,1892.29,3,78,,,,,143,816,1359,22.79,7.05,,,1.63,0.07,,
6/24/2019,NYPD (Non-CIP),Possible Crimes,6752,4.3,151.29,,,,,853.51,3509.26,3356.16,3,118,,,,,260,1322,1939,44.26,11.7,,,2.45,0.07,,
6/24/2019,NYPD (Non-CIP),Vehicle Accident,3030,4.64,172.37,,,,,1075.65,4876.98,4774.19,3,146,,,,,399,2394.5,3319.5,63.36,15.05,,,2.8,0.08,,
6/17/2019,EMS,1. Life Threating Med Emergencies,10169,4.06,70.73,,,78.68,121.53,160.42,568.94,495.22,3,77,,,15,38,84,361.5,440.5,6.81,1.42,0.68,0.16,1.11,0.07,,
